gene,event_type,exons,delta_PSI,p_value,mean_tumor,mean_normal,n_tumor,n_normal,p_adj
HNRNPA1,AA,11.1,-0.008796774193548407,0.5238328807369879,0.9380832258064515,0.9468799999999999,155,5,0.6635445185213932
RHOA,ES,5,-0.00843548387096774,0.0002585091365373566,0.010024516129032258,0.018459999999999997,155,5,0.002476402369487425
BCL2L1,AP,1,-0.008038064516129095,0.9374657116290186,0.930521935483871,0.9385600000000001,155,5,0.9742402206796522
AKT2,ES,11,0.0077058064516130065,0.0680920955833436,0.982485806451613,0.97478,155,5,0.13264693944807196
SRSF2,RI,2.2:2.3:2.4,0.007530967741935485,0.8907970290571334,0.1764709677419355,0.16894,155,5,0.9409827771730283
CDKN2A,AT,8,0.007244516129032319,0.9633672990140403,0.9812645161290323,0.97402,155,5,0.9742402206796522
CXCR4,AP,1,-0.006912987012986926,0.8242514154993884,0.9546870129870131,0.9616,154,5,0.9024650534664836
CDKN2A,ES,7,-0.006587500000000001,0.5081169151205953,0.006212499999999999,0.0128,144,4,0.6607752395325712
AKT1,AA,15.1,-0.0065154838709677865,0.020360157488590686,0.9899245161290322,0.99644,155,5,0.06532796268846239
MAPK8,ES,8:11.1,0.0057309677419356,0.11922704593418966,0.9985709677419355,0.99284,155,5,0.21547056494130662
FGFR3,ES,16,-0.005698064516128976,0.5524841833884166,0.9911619354838711,0.9968600000000001,155,5,0.6848977480021694
MAP2K1,ES,4,-0.005614722222222146,0.5585255007130532,0.9551652777777778,0.96078,144,5,0.6867116812045736
MLH1,ES,4.1:4.2,0.004625806451612813,0.33954101795800407,0.9964258064516127,0.9917999999999999,155,5,0.4804825725820812
ERCC1,ES,8:9:10.1,0.004145806451612888,0.4531136645307601,0.972765806451613,0.9686200000000001,155,5,0.6178822698146729
MAPK8,AT,15.2,0.0038703225806451247,2.1786937380785614e-05,0.9993903225806451,0.99552,155,5,0.001634020303558921
TRA2B,ES,3,0.0037741935483870392,0.7277298813196649,0.9439141935483869,0.9401399999999999,155,5,0.8238546246851759
MCL1,ES,2,0.003728387096774033,0.16623106125893683,0.9945683870967741,0.99084,155,5,0.28660527803264974
ERCC1,ES,4,-0.003654193548386808,0.249168937977419,0.9857858064516131,0.9894399999999999,155,5,0.38531279068673047
MLH1,ES,2.1:2.2,-0.003590967741935458,0.24665167157009793,0.9964090322580645,1.0,155,5,0.38531279068673047
FGFR3,ME,8|9,-0.0034224836601307197,0.1301836532336306,0.0075575163398692805,0.01098,153,5,0.22706451145400686
SRSF1,RI,3.6,-0.0029522580645159335,0.4986138254298087,0.884547741935484,0.8875,155,5,0.6560708229339588
CD44,AT,18,-0.0022819354838709005,0.05346218427824969,0.996978064516129,0.9992599999999999,155,5,0.1129482766441895
MLH1,ES,7,0.0022064516129032263,0.7749545648724301,0.9816064516129033,0.9794,155,5,0.8610606276360334
PTBP1,ES,3:4:5:6:7:8:9.1:9.2:10,0.0021167741935481654,0.864544014880712,0.9987167741935483,0.9966000000000002,155,5,0.9297585952290011
MLH1,ES,3,-0.002103870967741936,0.9668054902868544,0.008856129032258065,0.010960000000000001,155,5,0.9742402206796522
CASP9,RI,9.2,0.00181032258064516,0.9527599588963132,0.008090322580645161,0.006280000000000001,155,5,0.9742402206796522
FGFR1,AD,14.3,0.0012509677419354492,0.8560312337449892,0.8704709677419354,0.86922,155,5,0.9297585952290011
MAP2K1,AP,1,-0.0011600000000000499,0.2289869701074554,0.9578,0.95896,155,5,0.3693338227539603
MLH1,AD,4.2,-0.0011405194805192975,0.8233353760069344,0.9723194805194807,0.97346,154,5,0.9024650534664836
HNRNPK,ES,7,-0.001058064516128998,0.4831575027741256,0.9890019354838709,0.9900599999999999,155,5,0.6413965304392095
CASP9,AD,3.2,-0.0009645161290321447,0.6126049999597767,0.9990354838709679,1.0,155,5,0.7410544354352138
CDK4,ES,2:3.1:3.2:4:5.1:5.2,0.0009451612903225159,0.9677452858751212,0.9989651612903225,0.99802,155,5,0.9742402206796522
FGFR2,AA,28.1,-0.0009316129032258536,0.8994975379488865,0.9985883870967742,0.9995200000000001,155,5,0.9435288859603704
AKT1,AA,12.1,-0.0008509677419352712,0.12693218698526976,0.9991490322580647,1.0,155,5,0.22399797703282898
EGFR,ES,5,-0.000573202614378987,0.4098553963918006,0.999426797385621,1.0,153,4,0.5658213517198005
AKT2,AD,3.2,-0.0004954838709676501,0.5264119846936386,0.9995045161290323,1.0,155,5,0.6635445185213932
SRSF5,AA,5.1,0.0002509677419357814,0.6225454924604475,0.9995509677419356,0.9992999999999999,155,5,0.7411255862624376
