gene	drug	regulatory approval	indication	interaction score
TP53	PYRITHIONE ZINC	Approved	""	0.006416396086392026
TP53	IDASANUTLIN	Not Approved	""	0.1539935060734086
TP53	ASTEMIZOLE	Approved	Anti-Allergic Agents	0.00721844559719103
TP53	DOPAMINE	Approved	""	0.003982590674312292
TP53	HOMIDIUM BROMIDE	Not Approved	""	0.003982590674312292
TP53	SUNITINIB	Approved	antineoplastic agent	0.00481229706479402
TP53	INDIRUBIN-3'-MONOXIME	Not Approved	""	0.006078691029213499
TP53	DECITABINE	Approved	antineoplastic agent	0.00962459412958804
TP53	TRIFLUPROMAZINE	Approved	Antiemetics; Antipsychotic Agents	0.01443689119438206
TP53	CHEMBL:CHEMBL591618	Not Approved	""	0.02309902591101129
TP53	TOPICAL CORTICOSTEROID	Not Approved	""	0.07699675303670432
TP53	METHIMAZOLE	Approved	Antithyroid Agents	0.01099953614810061
TP53	DENDRITIC CELL VACCINE	Not Approved	""	0.05774756477752824
TP53	TRIACETYLRESVERATROL	Not Approved	""	0.05774756477752824
TP53	CHEMBL:CHEMBL154580	Not Approved	""	0.01049955723227786
TP53	BRIGATINIB	Approved	""	0.02099911446455572
TP53	CHEMBL:CHEMBL406557	Not Approved	""	0.01443689119438206
TP53	EMODIN	Not Approved	""	0.004442120367502173
TP53	VESNARINONE	Not Approved	""	0.02887378238876412
TP53	REBEMADLIN	Not Approved	""	0.4619805182202259
TP53	NUTLIN-3	Not Approved	""	0.2887378238876412
TP53	DIMETHYL GAMBOGATE	Not Approved	""	0.02309902591101129
TP53	IOXYNIL	Not Approved	""	0.03849837651835216
TP53	IRINOTECAN HYDROCHLORIDE	Approved	antineoplastic agent	0.005499768074050308
TP53	CHEMBL:CHEMBL601140	Not Approved	""	0.02887378238876412
TP53	APOMORPHINE	Approved	antiparkinson agent,for treatment of erectile dysfunction,for treatment of sexual dysfunction in women	0.004277597390928017
TP53	CHEMBL:CHEMBL184450	Not Approved	""	0.008249652111075463
TP53	IDELALISIB	Approved	antineoplastic agent	0.0256655843455681
TP53	TRAMETINIB DIMETHYL SULFOXIDE	Approved	antineoplastic agent	0.004914686364044956
TP53	BENDAMUSTINE	Approved	""	0.07699675303670432
TP53	CLIOQUINOL	Approved	""	0.006416396086392026
TP53	PUROMYCIN	Not Approved	""	0.0256655843455681
TP53	TRIFLOXYSTROBIN	Not Approved	""	0.03849837651835216
TP53	METHYL ROBUSTONE	Not Approved	""	0.02309902591101129
TP53	MPI-0479605	Not Approved	""	0.07699675303670432
TP53	IPILIMUMAB	Approved	antineoplastic agent	0.01539935060734086
TP53	OLAPARIB	Approved	""	0.007532291057938466
