Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"PPM1B","Protein Phosphatase, Mg2+/Mn2+ Dependent 1B","Protein Coding","O75688","54","GC02P044167","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPM1B"
"TFG","Trafficking From ER To Golgi Regulator","Protein Coding","Q92734","54","GC03P100709","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFG"
"TRPM2","Transient Receptor Potential Cation Channel Subfamily M Member 2","Protein Coding","O94759","54","GC21P044350","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPM2"
"KLF10","KLF Transcription Factor 10","Protein Coding","Q13118","53","GC08M102648","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF10"
"MTMR3","Myotubularin Related Protein 3","Protein Coding","Q13615","53","GC22P102378","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTMR3"
"RPS9","Ribosomal Protein S9","Protein Coding","P46781","53","GC19P179964","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS9"
"AGAP1","ArfGAP With GTPase Domain, Ankyrin Repeat And PH Domain 1","Protein Coding","Q9UPQ3","52","GC02P235494","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGAP1"
"CD84","CD84 Molecule","Protein Coding","Q9UIB8","52","GC01M160541","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD84"
"MAZ","MYC Associated Zinc Finger Protein","Protein Coding","P56270","52","GC16P029806","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAZ"
"SLC44A2","Solute Carrier Family 44 Member 2 (CTL2 Blood Group)","Protein Coding","Q8IWA5","52","GC19P010602","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC44A2"
"SRSF6","Serine And Arginine Rich Splicing Factor 6","Protein Coding","Q13247","52","GC20P043457","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF6"
"TCERG1","Transcription Elongation Regulator 1","Protein Coding","O14776","52","GC05P146447","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCERG1"
"UBR4","Ubiquitin Protein Ligase E3 Component N-Recognin 4","Protein Coding","Q5T4S7","52","GC01M019074","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBR4"
"CUL7","Cullin 7","Protein Coding","Q14999","51","GC06M043037","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUL7"
"DIO3","Iodothyronine Deiodinase 3","Protein Coding","P55073","51","GC14P122737","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIO3"
"HTATIP2","HIV-1 Tat Interactive Protein 2","Protein Coding","Q9BUP3","51","GC11P025468","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTATIP2"
"LIN7A","Lin-7 Cell Polarity Scaffold A","Protein Coding","O14910","51","GC12M080792","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIN7A"
"LRP12","LDL Receptor Related Protein 12","Protein Coding","Q9Y561","51","GC08M104489","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP12"
"PDE4DIP","Phosphodiesterase 4D Interacting Protein","Protein Coding","Q5VU43","51","GC01P148808","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE4DIP"
"POLA2","DNA Polymerase Alpha 2, Accessory Subunit","Protein Coding","Q14181","51","GC11P129882","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLA2"
"RIMS2","Regulating Synaptic Membrane Exocytosis 2","Protein Coding","Q9UQ26","51","GC08P103500","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIMS2"
"RPL9","Ribosomal Protein L9","Protein Coding","P32969","51","GC04M039452","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL9"
"SUMO3","Small Ubiquitin Like Modifier 3","Protein Coding","P55854","51","GC21M044805","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUMO3"
"ARHGAP9","Rho GTPase Activating Protein 9","Protein Coding","Q9BRR9","50","GC12M057472","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGAP9"
"HOXA3","Homeobox A3","Protein Coding","O43365","50","GC07M028329","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA3"
"LSM2","LSM2 Homolog, U6 Small Nuclear RNA And MRNA Degradation Associated","Protein Coding","Q9Y333","50","GC06M114972","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM2"
"RAB18","RAB18, Member RAS Oncogene Family","Protein Coding","Q9NP72","50","GC10P027504","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB18"
"RAB27B","RAB27B, Member RAS Oncogene Family","Protein Coding","O00194","50","GC18P054717","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB27B"
"SMC2","Structural Maintenance Of Chromosomes 2","Protein Coding","O95347","50","GC09P104088","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMC2"
"ARL13B","ARF Like GTPase 13B","Protein Coding","Q3SXY8","49","GC03P093980","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL13B"
"DENND1A","DENN Domain Containing 1A","Protein Coding","Q8TEH3","49","GC09M123379","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DENND1A"
"SHROOM3","Shroom Family Member 3","Protein Coding","Q8TF72","49","GC04P076435","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHROOM3"
"ZNF292","Zinc Finger Protein 292","Protein Coding","O60281","49","GC06P200102","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF292"
"CHST1","Carbohydrate Sulfotransferase 1","Protein Coding","O43916","48","GC11M045647","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHST1"
"MLLT1","MLLT1 Super Elongation Complex Subunit","Protein Coding","Q03111","48","GC19M006210","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLLT1"
"MRPS9","Mitochondrial Ribosomal Protein S9","Protein Coding","P82933","48","GC02P105069","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS9"
"MTMR12","Myotubularin Related Protein 12","Protein Coding","Q9C0I1","48","GC05M032227","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTMR12"
"NTSR2","Neurotensin Receptor 2","Protein Coding","O95665","48","GC02M011684","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTSR2"
"PFDN5","Prefoldin Subunit 5","Protein Coding","Q99471","48","GC12P053295","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFDN5"
"PPP2R5E","Protein Phosphatase 2 Regulatory Subunit B''Epsilon","Protein Coding","Q16537","48","GC14M063371","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2R5E"
"RAB31","RAB31, Member RAS Oncogene Family","Protein Coding","Q13636","48","GC18P009732","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB31"
"RPL37A","Ribosomal Protein L37a","Protein Coding","P61513","48","GC02P216498","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL37A"
"RPL38","Ribosomal Protein L38","Protein Coding","P63173","48","GC17P176326","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL38"
"TMEM97","Transmembrane Protein 97","Protein Coding","Q5BJF2","48","GC17P028319","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM97"
"UBAP2L","Ubiquitin Associated Protein 2 Like","Protein Coding","Q14157","48","GC01P183665","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBAP2L"
"ATP5IF1","ATP Synthase Inhibitory Factor Subunit 1","Protein Coding","Q9UII2","47","GC01P093429","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5IF1"
"GPR183","G Protein-Coupled Receptor 183","Protein Coding","P32249","47","GC13M099541","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR183"
"MMP27","Matrix Metallopeptidase 27","Protein Coding","Q9H306","47","GC11M102691","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP27"
"MT-ND1","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 1","Protein Coding","P03886","47","GCMTP003309","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND1"
"RBM7","RNA Binding Motif Protein 7","Protein Coding","Q9Y580","47","GC11P131580","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM7"
"SAV1","Salvador Family WW Domain Containing Protein 1","Protein Coding","Q9H4B6","46","GC14M050632","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAV1"
"DENND1B","DENN Domain Containing 1B","Protein Coding","Q6P3S1","45","GC01M197473","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DENND1B"
"FBXO2","F-Box Protein 2","Protein Coding","Q9UK22","45","GC01M011637","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXO2"
"GNG5","G Protein Subunit Gamma 5","Protein Coding","P63218","45","GC01M084498","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNG5"
"MRPL15","Mitochondrial Ribosomal Protein L15","Protein Coding","Q9P015","45","GC08P054135","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL15"
"MT-CO3","Mitochondrially Encoded Cytochrome C Oxidase III","Protein Coding","P00414","45","GCMTP009209","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO3"
"OSBPL11","Oxysterol Binding Protein Like 11","Protein Coding","Q9BXB4","45","GC03M125529","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSBPL11"
"PRP4K","Pre-MRNA Processing Factor Kinase PRP4K","Protein Coding","Q13523","45","GC06P004021","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRP4K"
"SHCBP1","SHC Binding And Spindle Associated 1","Protein Coding","Q8NEM2","45","GC16M046578","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHCBP1"
"TENM4","Teneurin Transmembrane Protein 4","Protein Coding","Q6N022","45","GC11M078652","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TENM4"
"UNC80","Unc-80 Subunit Of NALCN Channel Complex","Protein Coding","Q8N2C7","45","GC02P209771","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNC80"
"DMAC2L","Distal Membrane Arm Assembly Component 2 Like","Protein Coding","Q99766","44","GC14P066268","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMAC2L"
"ELMO3","Engulfment And Cell Motility 3","Protein Coding","Q96BJ8","44","GC16P067199","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELMO3"
"JAKMIP1","Janus Kinase And Microtubule Interacting Protein 1","Protein Coding","Q96N16","44","GC04M006026","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAKMIP1"
"WDR43","WD Repeat Domain 43","Protein Coding","Q15061","44","GC02P028894","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR43"
"WIZ","WIZ Zinc Finger","Protein Coding","O95785","44","GC19M015419","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WIZ"
"ZNF318","Zinc Finger Protein 318","Protein Coding","Q5VUA4","44","GC06M115185","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF318"
"ZNF821","Zinc Finger Protein 821","Protein Coding","O75541","44","GC16M071859","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF821"
"CORO1B","Coronin 1B","Protein Coding","Q9BR76","42","GC11M067435","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CORO1B"
"SPICE1","Spindle And Centriole Associated Protein 1","Protein Coding","Q8N0Z3","42","GC03M113442","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPICE1"
"TMED9","Transmembrane P24 Trafficking Protein 9","Protein Coding","Q9BVK6","42","GC05P192161","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMED9"
"ZC3H13","Zinc Finger CCCH-Type Containing 13","Protein Coding","Q5T200","42","GC13M045954","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZC3H13"
"AKIRIN2","Akirin 2","Protein Coding","Q53H80","41","GC06M087674","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKIRIN2"
"ATRNL1","Attractin Like 1","Protein Coding","Q5VV63","41","GC10P115093","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATRNL1"
"CRYBG3","Crystallin Beta-Gamma Domain Containing 3","Protein Coding","Q68DQ2","41","GC03P097821","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRYBG3"
"HMGXB4","HMG-Box Containing 4","Protein Coding","Q9UGU5","41","GC22P035241","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGXB4"
"NFXL1","Nuclear Transcription Factor, X-Box Binding Like 1","Protein Coding","Q6ZNB6","41","GC04M047849","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFXL1"
"STXBP5L","Syntaxin Binding Protein 5L","Protein Coding","Q9Y2K9","41","GC03P120908","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STXBP5L"
"ZNF300","Zinc Finger Protein 300","Protein Coding","Q96RE9","41","GC05M150894","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF300"
"DNTTIP2","Deoxynucleotidyltransferase Terminal Interacting Protein 2","Protein Coding","Q5QJE6","40","GC01M093866","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNTTIP2"
"MRPL9","Mitochondrial Ribosomal Protein L9","Protein Coding","Q9BYD2","40","GC01M151759","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL9"
"PRDM7","PR/SET Domain 7","Protein Coding","Q9NQW5","40","GC16M090056","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDM7"
"ZNF112","Zinc Finger Protein 112","Protein Coding","Q9UJU3","40","GC19M116394","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF112"
"MRPL41","Mitochondrial Ribosomal Protein L41","Protein Coding","Q8IXM3","39","GC09P137551","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL41"
"ZDBF2","Zinc Finger DBF-Type Containing 2","Protein Coding","Q9HCK1","39","GC02P206274","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZDBF2"
"RESF1","Retroelement Silencing Factor 1","Protein Coding","Q9HCM1","36","GC12P086288","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RESF1"
"ZNF211","Zinc Finger Protein 211","Protein Coding","Q13398","36","GC19P057630","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF211"
"MRNIP","MRN Complex Interacting Protein","Protein Coding","Q6NTE8","35","GC05M183982","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRNIP"
"SSPOP","SCO-Spondin, Pseudogene","Pseudogene","A2VEC9","29","GC07P170645","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSPOP"
"ZNF730","Zinc Finger Protein 730","Protein Coding","Q6ZMV8","29","GC19P171348","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF730"
"MCM3AP-AS1","MCM3AP Antisense RNA 1","RNA Gene","","28","GC21P052802","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM3AP-AS1"
"HCG18","HLA Complex Group 18","RNA Gene","","27","GC06M114875","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCG18"
"MT1L","Metallothionein 1L (Pseudogene)","Pseudogene","Q93083","26","GC16P056617","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT1L"
"MIR382","MicroRNA 382","RNA Gene","","25","GC14P123653","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR382"
"MIR452","MicroRNA 452","RNA Gene","","25","GC0XM151959","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR452"
"MIR511","MicroRNA 511","RNA Gene","","25","GC10P017845","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR511"
"FALEC","Focally Amplified LncRNA Regulator Of ECM1","RNA Gene","","24","GC01P183418","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FALEC"
"MIR662","MicroRNA 662","RNA Gene","","23","GC16P135888","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR662"
"MIR653","MicroRNA 653","RNA Gene","","22","GC07M093482","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR653"
"MIR4286","MicroRNA 4286","RNA Gene","","21","GC08P010666","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4286"
"SNORD31","Small Nucleolar RNA, C/D Box 31","RNA Gene","","17","GC11M146075","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD31"
"MIR509-3","MicroRNA 509-3","RNA Gene","","16","GC0XM147259","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR509-3"
"MIR520F","MicroRNA 520f","RNA Gene","","16","GC19P053682","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR520F"
"LGMNP1","Legumain Pseudogene 1","Pseudogene","","8","GC13M064957","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGMNP1"
"MGC70870","C-Terminal Binding Protein 2 Pseudogene","Pseudogene","","6","GC17M9O0054","0.825944066047668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGC70870"
"EIF1AD","Eukaryotic Translation Initiation Factor 1A Domain Containing","Protein Coding","Q8N9N8","42","GC11M065996","0.822152972221375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF1AD"
"PURG","Purine Rich Element Binding Protein G","Protein Coding","Q9UJV8","37","GC08M030995","0.822152972221375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PURG"
"ABCC8","ATP Binding Cassette Subfamily C Member 8","Protein Coding","Q09428","58","GC11M017392","0.815873801708221","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC8"
"PPID","Peptidylprolyl Isomerase D","Protein Coding","Q08752","54","GC04M158709","0.814280986785889","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPID"
"MMP15","Matrix Metallopeptidase 15","Protein Coding","P51511","57","GC16P058025","0.808659195899963","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP15"
"TFAP2A","Transcription Factor AP-2 Alpha","Protein Coding","P05549","60","GC06M010393","0.80125880241394","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAP2A"
"ADAMTS13","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13","Protein Coding","Q76LX8","60","GC09P133414","0.80103600025177","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS13"
"MBD4","Methyl-CpG Binding Domain 4, DNA Glycosylase","Protein Coding","O95243","56","GC03M129430","0.797593891620636","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBD4"
"MSH4","MutS Homolog 4","Protein Coding","O15457","49","GC01P075796","0.797593891620636","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH4"
"SP100","SP100 Nuclear Antigen","Protein Coding","P23497","52","GC02P230415","0.796732425689697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP100"
"FNDC5","Fibronectin Type III Domain Containing 5","Protein Coding","Q8NAU1","47","GC01M041562","0.795316696166992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FNDC5"
"ITGA2B","Integrin Subunit Alpha 2b","Protein Coding","P08514","63","GC17M104845","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA2B"
"PDE4D","Phosphodiesterase 4D","Protein Coding","Q08499","61","GC05M058969","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE4D"
"KL","Klotho","Protein Coding","Q9UEF7","60","GC13P033016","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KL"
"MYH7","Myosin Heavy Chain 7","Protein Coding","P12883","60","GC14M023412","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH7"
"WNT7A","Wnt Family Member 7A","Protein Coding","O00755","60","GC03M029831","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT7A"
"CD27","CD27 Molecule","Protein Coding","P26842","59","GC12P085695","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD27"
"CYP27A1","Cytochrome P450 Family 27 Subfamily A Member 1","Protein Coding","Q02318","59","GC02P218781","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP27A1"
"DVL1","Dishevelled Segment Polarity Protein 1","Protein Coding","O14640","59","GC01M001335","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DVL1"
"GLP1R","Glucagon Like Peptide 1 Receptor","Protein Coding","P43220","59","GC06P039048","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLP1R"
"PKLR","Pyruvate Kinase L/R","Protein Coding","P30613","59","GC01M155289","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKLR"
"SCNN1G","Sodium Channel Epithelial 1 Subunit Gamma","Protein Coding","P51170","59","GC16P023182","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCNN1G"
"VIPR1","Vasoactive Intestinal Peptide Receptor 1","Protein Coding","P32241","59","GC03P068871","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIPR1"
"YWHAH","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Eta","Protein Coding","Q04917","59","GC22P031944","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAH"
"ATIC","5-Aminoimidazole-4-Carboxamide Ribonucleotide Formyltransferase/IMP Cyclohydrolase","Protein Coding","P31939","58","GC02P215311","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATIC"
"CKM","Creatine Kinase, M-Type","Protein Coding","P06732","58","GC19M045306","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CKM"
"CTSG","Cathepsin G","Protein Coding","P08311","58","GC14M024573","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSG"
"EPB41","Erythrocyte Membrane Protein Band 4.1","Protein Coding","P11171","58","GC01P028887","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPB41"
"GJB2","Gap Junction Protein Beta 2","Protein Coding","P29033","58","GC13M020187","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB2"
"HMGCL","3-Hydroxy-3-Methylglutaryl-CoA Lyase","Protein Coding","P35914","58","GC01M023801","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCL"
"HPGD","15-Hydroxyprostaglandin Dehydrogenase","Protein Coding","P15428","58","GC04M174490","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPGD"
"MARS1","Methionyl-TRNA Synthetase 1","Protein Coding","P56192","58","GC12P087091","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARS1"
"PDE5A","Phosphodiesterase 5A","Protein Coding","O76074","58","GC04M119494","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE5A"
"PTS","6-Pyruvoyltetrahydropterin Synthase","Protein Coding","Q03393","58","GC11P112226","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTS"
"SLC25A1","Solute Carrier Family 25 Member 1","Protein Coding","P53007","58","GC22M090199","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A1"
"CISH","Cytokine Inducible SH2 Containing Protein","Protein Coding","Q9NSE2","57","GC03M055383","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CISH"
"CR1","Complement C3b/C4b Receptor 1 (Knops Blood Group)","Protein Coding","P17927","57","GC01P207496","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CR1"
"DLX5","Distal-Less Homeobox 5","Protein Coding","P56178","57","GC07M097020","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLX5"
"DRD4","Dopamine Receptor D4","Protein Coding","P21917","57","GC11P024743","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD4"
"EIF2AK4","Eukaryotic Translation Initiation Factor 2 Alpha Kinase 4","Protein Coding","Q9P2K8","57","GC15P039934","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK4"
"FLRT3","Fibronectin Leucine Rich Transmembrane Protein 3","Protein Coding","Q9NZU0","57","GC20M014322","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLRT3"
"IREB2","Iron Responsive Element Binding Protein 2","Protein Coding","P48200","57","GC15P078437","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IREB2"
"ISL1","ISL LIM Homeobox 1","Protein Coding","P61371","57","GC05P051383","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISL1"
"MOG","Myelin Oligodendrocyte Glycoprotein","Protein Coding","Q16653","57","GC06P199472","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOG"
"PNPT1","Polyribonucleotide Nucleotidyltransferase 1","Protein Coding","Q8TCS8","57","GC02M055634","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPT1"
"PSMA7","Proteasome 20S Subunit Alpha 7","Protein Coding","O14818","57","GC20M062136","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMA7"
"RAPGEF3","Rap Guanine Nucleotide Exchange Factor 3","Protein Coding","O95398","57","GC12M047736","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAPGEF3"
"SERPINF1","Serpin Family F Member 1","Protein Coding","P36955","57","GC17P001761","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINF1"
"SERPINF2","Serpin Family F Member 2","Protein Coding","P08697","57","GC17P001742","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINF2"
"SI","Sucrase-Isomaltase","Protein Coding","P14410","57","GC03M164978","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SI"
"SLC2A9","Solute Carrier Family 2 Member 9","Protein Coding","Q9NRM0","57","GC04M009772","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A9"
"BLMH","Bleomycin Hydrolase","Protein Coding","Q13867","56","GC17M030248","0.793337464332581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLMH"
